,year,week,variable,value,year_week
487,2018,27,T_mean,28.37142857142857,2018-31
488,2018,27,T_min,25.264285714285716,2018-31
489,2018,28,T_max,30.585714285714285,2018-32
490,2018,28,T_mean,27.400000000000002,2018-32
491,2018,28,T_min,24.385714285714283,2018-32
492,2018,29,T_max,28.32857142857143,2018-32
493,2018,29,T_mean,26.41428571428571,2018-34
494,2018,29,T_min,24.3,2018-34
495,2018,30,T_max,29.87142857142857,2018-34
496,2018,30,T_mean,27.142857142857142,2018-34
497,2018,30,T_min,24.77857142857143,2018-34
498,2018,31,T_max,31.071428571428573,2018-34
499,2018,31,T_mean,27.957142857142856,2018-34
500,2018,31,T_min,25.33571428571429,2018-35
501,2018,32,T_max,29.785714285714285,2018-35
502,2018,32,T_mean,27.21428571428571,2018-35
503,2018,32,T_min,24.964285714285715,2018-35
504,2018,33,T_max,30.114285714285717,2018-35
505,2018,33,T_mean,27.61428571428571,2018-35
506,2018,33,T_min,25.571428571428577,2018-35
507,2018,34,T_max,30.157142857142862,2018-36
508,2018,34,T_mean,28.014285714285716,2018-36
509,2018,34,T_min,25.735714285714288,2018-36
510,2018,35,T_max,32.1,2018-37
511,2018,35,T_mean,28.15,2018-37
512,2018,35,T_min,24.825,2018-37
513,2018,36,T_max,30.914285714285715,2018-37
514,2018,36,T_mean,27.38571428571429,2018-38
515,2018,36,T_min,24.107142857142858,2018-38
516,2018,37,T_max,30.75714285714286,2018-38
517,2018,37,T_mean,27.114285714285717,2018-38
518,2018,37,T_min,23.782142857142855,2018-38
519,2018,39,T_max,32.25,2018-38
520,2018,39,T_mean,28.5,2018-38
521,2018,39,T_min,24.875,2018-39
522,2018,41,T_max,31.7,2018-39
523,2018,41,T_mean,27.4,2018-39
524,2018,41,T_min,23.866666666666667,2018-39
525,2018,42,T_max,32.49999999999999,2018-39
526,2018,42,T_mean,27.728571428571428,2018-39
527,2018,42,T_min,23.39047619047619,2018-39
528,2018,43,T_max,34.2,2018-40
529,2018,43,T_mean,28.2,2018-40
530,2018,43,T_min,23.7,2018-40
531,2018,44,T_max,31.874999999999996,2018-40
532,2018,44,T_mean,28.199999999999996,2018-40
533,2018,44,T_min,24.700000000000003,2018-40
534,2018,45,T_max,31.919999999999998,2018-40
535,2018,45,T_mean,27.52,2018-41
536,2018,45,T_min,24.05,2018-41
537,2018,46,T_max,31.7,2018-41
538,2018,46,T_mean,27.3,2018-41
539,2018,46,T_min,23.35,2018-41
540,2018,47,T_max,32.2,2018-41
541,2018,47,T_mean,27.7,2018-41
542,2018,47,T_min,23.3,2018-42
543,2018,48,T_max,31.666666666666668,2018-42
544,2018,48,T_mean,27.066666666666663,2018-42
545,2018,48,T_min,22.78333333333333,2018-42
546,2018,49,T_max,32.67142857142857,2018-42
547,2018,49,T_mean,27.585714285714285,2018-42
548,2018,49,T_min,22.692857142857143,2018-43
549,2018,50,T_max,32.175,2018-43
550,2018,50,T_mean,26.075,2018-43
551,2018,50,T_min,22.83125,2018-43
552,2018,51,T_max,30.2,2018-43
553,2018,51,T_mean,26.139999999999997,2018-44
554,2018,51,T_min,22.46,2018-44
555,2018,52,T_max,28.74285714285714,2018-44
556,2018,52,T_mean,25.442857142857147,2018-44
557,2018,52,T_min,23.057142857142857,2018-44
558,2018,53,T_max,26.4,2018-44
559,2018,53,T_mean,24.5,2018-44
560,2018,53,T_min,22.0,2018-45
561,2019,0,T_max,30.849999999999998,2019-46
562,2019,0,T_mean,26.6,2019-46
563,2019,0,T_min,22.737499999999997,2019-46
564,2019,4,T_max,28.833333333333332,2019-47
565,2019,4,T_mean,25.5,2019-47
566,2019,4,T_min,20.8,2019-47
567,2019,5,T_max,31.65,2019-47
568,2019,5,T_mean,25.95,2019-47
569,2019,5,T_min,20.1,2019-47
570,2019,8,T_max,32.2,2019-47
571,2019,8,T_mean,26.4,2019-48
572,2019,8,T_min,20.55,2019-48
573,2019,14,T_max,35.9,2019-48
574,2019,14,T_mean,31.1,2019-48
575,2019,14,T_min,26.0,2019-48
576,2019,18,T_max,32.74166666666667,2019-48
577,2019,18,T_mean,28.700000000000003,2019-48
578,2019,18,T_min,24.950000000000003,2019-49
579,2019,19,T_max,34.65,2019-49
580,2019,19,T_mean,30.76666666666667,2019-49
581,2019,19,T_min,26.633333333333336,2019-49
582,2019,20,T_max,33.41428571428572,2019-49
583,2019,20,T_mean,28.7,2019-49
584,2019,20,T_min,25.035714285714285,2019-49
585,2019,21,T_max,34.3,2019-50
586,2019,21,T_mean,29.119999999999997,2019-50
587,2019,21,T_min,24.759999999999998,2019-50
588,2019,22,T_max,35.225,2019-50
589,2019,22,T_mean,30.925000000000004,2019-50
590,2019,22,T_min,26.383333333333333,2019-51
591,2019,23,T_max,33.2,2019-51
592,2019,23,T_mean,29.3,2019-51
593,2019,23,T_min,25.8,2019-51
594,2019,24,T_max,35.8,2019-51
595,2019,24,T_mean,30.9,2019-51
596,2019,24,T_min,26.825,2019-51
597,2019,25,T_max,29.6,2019-52
598,2019,25,T_mean,26.25,2019-52
599,2019,25,T_min,25.4,2019-52
600,2019,26,T_max,31.25,2019-52
601,2019,26,T_mean,28.400000000000002,2019-52
602,2019,26,T_min,25.125,2019-01
603,2019,27,T_max,33.483333333333334,2019-02
604,2019,27,T_mean,29.05,2019-02
605,2019,27,T_min,25.383333333333336,2019-03
606,2019,28,T_max,31.24285714285714,2019-03
607,2019,28,T_mean,27.957142857142856,2019-04
608,2019,28,T_min,25.33571428571429,2019-04
609,2019,29,T_max,31.642857142857146,2019-04
610,2019,29,T_mean,27.642857142857142,2019-04
611,2019,29,T_min,24.885714285714283,2019-04
612,2019,30,T_max,30.48571428571429,2019-05
613,2019,30,T_mean,26.714285714285715,2019-05
614,2019,30,T_min,24.47142857142857,2019-05
615,2019,31,T_max,30.02857142857143,2019-05
616,2019,31,T_mean,27.742857142857144,2019-06
617,2019,31,T_min,25.907142857142855,2019-06
